統計期,合計,合計年增率(%),亞洲,亞洲年增率(%),美洲,美洲年增率(%),歐洲,歐洲年增率(%),大洋洲,大洋洲年增率(%),非洲,非洲年增率(%)
1月,920674,7.74,857718,8.37,42415,-2.25,8166,-3.45,12100,9.15,4,--
2月,1015518,6.06,950739,4.88,41876,34.28,10271,28.36,12494,7.32,-,--
3月,1075244,23.09,1010951,23.23,43303,32.26,11384,24.28,9588,0.46,-,--
4月,1139384,15.65,1076810,15.71,42180,16.44,11913,26.75,8265,-7.2,-,-100
5月,1153079,10.11,1083466,10.29,46860,10.25,14621,16.16,8112,-15.08,-,-100
6月,1173516,7.66,1090220,7.51,55634,9.59,19020,32.04,8565,-16.76,-,-100
7月,1261540,8.45,1175786,8.29,56634,6.89,19376,44.81,9623,-11.41,7,--
8月,1157371,8.86,1080572,9.18,51541,3.73,16535,23.49,8647,-15.86,-,--
9月,1072009,11.04,998619,11.26,46318,8.4,17993,12.89,8794,-3.92,-,--
10月,1181248,12.5,1115273,12.63,41081,6.89,14582,12.92,10166,21.81,-,--
11月,1048893,18.36,986063,18.31,41537,13.59,10084,10.86,11152,59.27,6,--
12月,984500,8.35,927071,8.62,38888,1.62,7584,9.17,10884,12.41,13,116.67
