統計期,合計,合計年增率(%),亞洲,亞洲年增率(%),美洲,美洲年增率(%),歐洲,歐洲年增率(%),大洋洲,大洋洲年增率(%),非洲,非洲年增率(%)
1月,753483,-16.4,704042,-12.59,35115,-46.11,5519,-73.05,8764,-2.5,3,-98.6
2月,966575,25.12,914067,28.5,34882,-1.85,7905,-52.43,9696,19.41,1,-99.19
3月,814558,12.56,770918,16.97,28489,-23.16,7939,-63,7182,24.88,-,-100
4月,897886,5.45,850233,8.67,32382,-23.59,8884,-55.35,6321,-0.08,-,-100
5月,853288,0.46,799738,3.23,36163,-18.89,10851,-52.66,6518,13.32,-,-100
6月,1002864,10.37,934271,14.28,46373,-15.49,13684,-50.3,8528,-0.32,-,--
7月,1089257,4.6,1017208,7.99,49785,-17.84,12342,-55.62,9914,-8.41,-,--
8月,1022387,9.46,955905,13.45,46789,-18.68,11303,-55.45,8369,0.32,8,700
9月,977616,19.43,914652,22.93,39462,-8.42,15228,-39.82,8241,38.09,-,-100
10月,1007052,10.41,952631,12.89,33619,-16.83,12034,-43.55,8706,37.12,-,--
11月,862989,11.58,815172,11.49,32246,14.12,8089,18.83,7412,4.36,-,--
12月,804953,6.84,760100,6.53,31290,13.77,6022,14.73,7469,5.38,2,--
