統計期,合計,合計年增率(%),亞洲,亞洲年增率(%),美洲,美洲年增率(%),歐洲,歐洲年增率(%),大洋洲,大洋洲年增率(%),非洲,非洲年增率(%)
1月,696474,2586.5,607783,3759.92,51411,487.55,20834,2977.4,16178,2423.87,59,883.33
2月,652943,999.93,591293,1082.7,31667,332.55,14325,1415.87,15499,1431.52,18,-
3月,736283,1569.99,661285,1913.6,39901,346.22,22394,1992.9,12497,1031.97,24,50
4月,830184,1940.97,755352,2631.24,38832,266.69,21624,1675.37,13124,1065.54,28,460
5月,877833,1824.99,790604,2723.38,46289,225.2,26736,1206.11,11312,816.69,12,-
6月,1131234,1591.69,1021676,2411.93,56388,169.32,34160,1042.09,14243,563.7,14,-33.33
7月,1235822,1106.92,1128885,1532.07,59025,122.79,29139,702.95,16721,454.04,37,131.25
8月,1182468,817.99,1083486,1191.72,52875,47.89,27283,344.86,14938,411.93,25,66.67
9月,1080168,751.44,980814,1009.04,47413,83.38,35315,290.7,13596,302.84,47,67.86
10月,1218643,607.2,1126806,734.38,42556,74.18,33241,312.01,15463,228.37,32,68.42
11月,1096976,296.64,1019656,343.72,37845,26.84,25959,134.35,13399,133.8,19,-29.63
12月,1056806,168.68,984674,192.52,39261,5.1,20031,88.23,12540,46.36,25,13.64
