統計期,合計,合計年增率(%),亞洲,亞洲年增率(%),美洲,美洲年增率(%),歐洲,歐洲年增率(%),大洋洲,大洋洲年增率(%),非洲,非洲年增率(%)
1月,1150837,5.98,1039805,3.05,62612,17.62,29208,230.07,16437,11.48,1865,62066.67
2月,1284579,3.53,1187260,2.14,47867,-5.41,29732,150.84,17415,13.7,1819,4447.5
3月,1212728,10.63,1108668,7.74,49773,18.76,38337,226.83,13759,7.2,1740,--
4月,1319531,6.65,1217543,3.89,51335,18.21,35048,233.89,13707,21.97,1181,7281.25
5月,1371312,11.44,1237914,6.87,64305,31.55,53888,344.4,13258,30.08,1031,--
6月,1410713,3.44,1272308,-0.26,68458,13.67,53395,210.44,14924,38.62,807,7236.36
7月,1480440,5.95,1355325,4.9,64369,9.64,44015,37.94,15249,5.73,1310,604.3
8月,1361761,8,1241730,6.91,61484,11.26,40719,34.42,16511,22.64,1197,194.83
9月,1232231,-1.26,1095079,-3.1,62607,5.44,58993,38.43,14052,-0.71,1201,5.54
10月,1416082,14.08,1285049,12.79,62084,16.31,50399,53.25,16410,25.24,1704,54.21
11月,1253282,12.55,1149402,12.64,53621,4.61,34306,32.44,14251,0.59,1489,4.79
12月,1161083,8.17,1063679,7.51,48846,4.11,28489,28.18,18344,37.65,1396,58.64
