統計期,合計,合計年增率(%),亞洲,亞洲年增率(%),美洲,美洲年增率(%),歐洲,歐洲年增率(%),大洋洲,大洋洲年增率(%),非洲,非洲年增率(%)
1月,690743,-5.59,628836,-2.78,42462,-22.23,8804,-53.28,10332,-1.1,136,-83.43
2月,804856,-3.95,746318,-1.12,31627,-39.13,18617,-4.17,8061,-29.64,2,100
3月,667160,-7.06,606326,-6.9,32614,-21.84,21929,23.45,5729,-16.52,-,--
4月,752558,1.16,690567,1.09,33641,-10.99,20814,33.95,7390,0.04,-,--
5月,809015,5.44,736192,4.46,41596,5.45,23542,44.1,6729,5.24,45,--
6月,890332,10.33,804014,9.26,49296,11.86,26447,35.81,9567,29.14,-,--
7月,1026829,3.97,933756,3.44,53351,-1.36,26865,53.5,12056,-1.4,1,-
8月,911458,3.16,825270,1.95,51321,3.26,23825,47.78,10385,34.98,44,-84.62
9月,823272,5.15,745564,2.58,40683,8.79,27469,155.6,8739,15.2,-,-100
10月,844814,6.25,778938,4.36,37091,15.61,19162,100.15,8766,26.06,2,--
11月,706108,3.39,655117,2.02,31113,7.78,11792,87.38,7270,32.33,1,--
12月,656728,-3.03,611316,-4.25,28464,2.37,9796,104.89,6590,11.05,7,--
