統計期,合計,合計年增率(%),亞洲,亞洲年增率(%),美洲,美洲年增率(%),歐洲,歐洲年增率(%),大洋洲,大洋洲年增率(%),非洲,非洲年增率(%)
1月,1299722,7.25,1191620,8.44,63341,4.8,25186,-16.97,19545,-1.14,3,-99.87
2月,1468616,10.49,1368011,13.22,50870,-10.77,23669,-37.53,22154,-6.08,1,-99.96
3月,1396026,0.78,1277735,1.98,52457,-10.68,31399,-37.84,18198,-11.18,3,-99.87
4月,1415406,-5.91,1308012,-5.08,51136,-9.8,29855,-37.49,18225,-8.55,-,-100
5月,1463759,1.57,1340549,2.71,62727,-0.2,34683,-35.15,17287,-4.66,5,-99.61
6月,1570675,3.22,1446080,4.88,63764,-10.94,34293,-35.13,18918,7.07,2,-99.69
7月,1581016,0.41,1467067,2.03,57914,-10.94,30449,-38.59,17311,-15.63,6,-99.59
8月,1481669,1.45,1367572,3.09,58819,-6.84,31984,-36.2,23099,21.74,1,-99.94
9月,1372190,6.11,1247990,9.12,62134,-0.03,39574,-41.97,18506,8.32,-,-100
10月,1517174,9.18,1399739,9.87,57374,4.47,35967,-18.22,20452,31.42,4,-99.59
11月,1343563,5.4,1240902,5.2,48778,-1.43,27004,-8.07,17708,9.15,-,-100
12月,1191519,-5.34,1102196,-5.7,47206,-1.64,19520,-17.57,16732,2.43,2,-84.62
